lat	lon	alt
37.42202687	-122.2456471	111.544441223
37.42202687	-122.24556278	111.924438477
37.42202687	-122.24547846	112.054656982
37.42202687	-122.24539414	112.174659729
37.42202687	-122.24530982	112.234657288
37.42202687	-122.2452255	112.133880615
37.42202687	-122.24514118	112.013885498
37.42202687	-122.24505686	112.013885498
37.42202687	-122.24497254	112.186599731
37.42202687	-122.24488822	112.306602478
37.42202687	-122.2448039	112.446601868
37.4220988	-122.24640598	103.724952698
37.4220988	-122.24632166	106.364952087
37.4220988	-122.24623734	108.469902039
37.4220988	-122.24615302	109.349899292
37.4220988	-122.2460687	109.429901123
37.4220988	-122.24598438	109.566940308
37.4220988	-122.24590006	110.186943054
37.4220988	-122.24581574	110.706939697
37.4220988	-122.24573142	111.564437866
37.4220988	-122.2456471	112.064437866
37.4220988	-122.24556278	112.404441833
37.4220988	-122.24547846	112.594657898
37.4220988	-122.24539414	112.834655762
37.4220988	-122.24530982	112.934661865
37.4220988	-122.2452255	112.873886108
37.4220988	-122.24514118	112.753883362
37.4220988	-122.24505686	112.653884888
37.4220988	-122.24497254	112.686599731
37.4220988	-122.24488822	112.706596375
37.4220988	-122.2448039	112.806602478
37.42217073	-122.24640598	104.954536438
37.42217073	-122.24632166	108.454536438
37.42217073	-122.24623734	110.336921692
37.42217073	-122.24615302	110.596923828
37.42217073	-122.2460687	110.456924438
37.42217073	-122.24598438	110.572967529
37.42217073	-122.24590006	111.312965393
37.42217073	-122.24581574	111.892967224
37.42217073	-122.24573142	112.473503113
37.42217073	-122.2456471	112.933502197
37.42217073	-122.24556278	113.253501892
37.42217073	-122.24547846	113.442375183
37.42217073	-122.24539414	113.662376404
37.42217073	-122.24530982	113.762374878
37.42217073	-122.2452255	113.785644531
37.42217073	-122.24514118	113.725646973
37.42217073	-122.24505686	113.625640869
37.42217073	-122.24497254	113.517753601
37.42217073	-122.24488822	113.357749939
37.42217073	-122.2448039	113.377746582
37.42224266	-122.24640598	106.854537964
37.42224266	-122.24632166	109.934532166
37.42224266	-122.24623734	110.936920166
37.42224266	-122.24615302	110.996925354
37.42224266	-122.2460687	110.996925354
37.42224266	-122.24598438	111.252967834
37.42224266	-122.24590006	112.012969971
37.42224266	-122.24581574	112.65296936
37.42224266	-122.24573142	113.273506165
37.42224266	-122.2456471	113.733505249
37.42224266	-122.24556278	113.973503113
37.42224266	-122.24547846	114.122375488
37.42224266	-122.24539414	114.282371521
37.42224266	-122.24530982	114.302375793
37.42224266	-122.2452255	114.305641174
37.42224266	-122.24514118	114.285644531
37.42224266	-122.24505686	114.185646057
37.42224266	-122.24497254	114.037750244
37.42224266	-122.24488822	113.79775238
37.42224266	-122.2448039	113.757751465
37.42231459	-122.24640598	109.154533386
37.42231459	-122.24632166	110.874534607
37.42231459	-122.24623734	111.116920471
37.42231459	-122.24615302	111.096923828
37.42231459	-122.2460687	111.136924744
37.42231459	-122.24598438	111.532966614
37.42231459	-122.24590006	112.672966003
37.42231459	-122.24581574	113.592964172
37.42231459	-122.24573142	114.253501892
37.42231459	-122.2456471	114.733505249
37.42231459	-122.24556278	114.773506165
37.42231459	-122.24547846	114.982376099
37.42231459	-122.24539414	115.022377014
37.42231459	-122.24530982	114.982376099
37.42231459	-122.2452255	114.865646362
37.42231459	-122.24514118	114.745643616
37.42231459	-122.24505686	114.605644226
37.42231459	-122.24497254	114.457748413
37.42231459	-122.24488822	114.237747192
37.42231459	-122.2448039	114.137748718
37.42238652	-122.24640598	110.574539185
37.42238652	-122.24632166	111.434532166
37.42238652	-122.24623734	111.356918335
37.42238652	-122.24615302	111.376922607
37.42238652	-122.2460687	111.856918335
37.42238652	-122.24598438	113.212966919
37.42238652	-122.24590006	114.632965088
37.42238652	-122.24581574	115.452964783
37.42238652	-122.24573142	115.913505554
37.42238652	-122.2456471	116.473503113
37.42238652	-122.24556278	116.373504639
37.42238652	-122.24547846	116.322372437
37.42238652	-122.24539414	115.962371826
37.42238652	-122.24530982	115.802375793
37.42238652	-122.2452255	115.625640869
37.42238652	-122.24514118	115.425643921
37.42238652	-122.24505686	115.125640869
37.42238652	-122.24497254	114.917747498
37.42238652	-122.24488822	114.757751465
37.42238652	-122.2448039	114.677749634
37.42245845	-122.24640598	111.664451599
37.42245845	-122.24632166	112.604454041
37.42245845	-122.24623734	112.470924377
37.42245845	-122.24615302	112.650924683
37.42245845	-122.2460687	113.330924988
37.42245845	-122.24598438	114.81539917
37.42245845	-122.24590006	116.035400391
37.42245845	-122.24581574	116.535400391
37.42245845	-122.24573142	116.948669434
37.42245845	-122.2456471	117.368675232
37.42245845	-122.24556278	117.228675842
37.42245845	-122.24547846	116.97467041
37.42245845	-122.24539414	116.554664612
37.42245845	-122.24530982	116.254669189
37.42245845	-122.2452255	115.93145752
37.42245845	-122.24514118	115.711456299
37.42245845	-122.24505686	115.43145752
37.42245845	-122.24497254	115.180465698
37.42245845	-122.24488822	114.98046875
37.42245845	-122.2448039	114.820465088
37.42253038	-122.24640598	112.604454041
37.42253038	-122.24632166	113.684448242
37.42253038	-122.24623734	113.750923157
37.42253038	-122.24615302	114.170921326
